orthogroup	seq_count	median_length	mean_length	signal_peptide_count	signal_peptide_fraction	tm_protein_count	beta_barrel_count	sp_tm_count	secreted_non_tm_count	secreted_acidic_fraction_mean	secreted_cysteine_fraction_mean	top_pfam_domains	top_pfam_descriptions	top_blast_consensus	inferred_function	calcification_relevance	calcification_rationale
OG0000049	502	649	673.3	2	0.004	3	0	0	2	0.080	0.010	FKBP15 (n=7, bestE=1.9e-05); ODF2_C (n=2, bestE=1.7e-05); CCDC39 (n=1, bestE=5.5e-06); T4SS_LegC2C7 (n=1, bestE=1.6e-05)	FK506-binding protein 15-like domain (n=7, bestE=1.9e-05); ODF2 C-terminal coiled coil domain (n=2, bestE=1.7e-05); Coiled-coil domain-containing protein 39 (n=1, bestE=5.5e-06); Dot/Icm T4SS effector LegC2/C7 (n=1, bestE=1.6e-05)	FK506-binding protein 15 (n=3, bestE=3.3e-05); Endonuclease III homolog (n=1, bestE=7.1e-11); Laminin subunit beta-2 (n=1, bestE=2.7e-05); Reticulocyte-binding protein homolog 2a (n=1, bestE=9.1e-05)	FKBP15-like coiled-coil scaffold protein	low	2/502 sequences have a signal peptide; 3/502 sequences are predicted transmembrane; PFAM consensus: FK506-binding protein 15-like domain; current evidence does not suggest a strong calcification-specific function
OG0001332	91	304	288.6	1	0.011	76	0	3	1	0.112	0.035	Hint (n=84, bestE=3.9e-29); Trypsin (n=2, bestE=3.3e-19); Trypsin_2 (n=1, bestE=1.5e-05); Hint_2 (n=1, bestE=2.7e-05)	Hint module (n=84, bestE=3.9e-29); Trypsin (n=2, bestE=3.3e-19); Trypsin-like peptidase domain (n=1, bestE=1.5e-05); Hint domain (n=1, bestE=2.7e-05)	Warthog protein 1 (n=65, bestE=1.8e-08); Protein hedgehog (n=6, bestE=2.0e-06); Warthog protein 8 (n=4, bestE=3.5e-13); Warthog protein 4 (n=1, bestE=1.2e-15)	hedgehog/warthog-like signaling protein	low	1/91 sequences have a signal peptide; 76/91 sequences are predicted transmembrane; PFAM consensus: Hint module; current evidence does not suggest a strong calcification-specific function
OG0001976	73	289	302.1	4	0.055	3	0	0	4	0.121	0.028	Pentapeptide (n=72, bestE=7.9e-12); Pentapeptide_4 (n=69, bestE=1.3e-13); Pentapeptide_3 (n=51, bestE=1.3e-06); Decapeptide (n=10, bestE=3.0e-05)	Pentapeptide repeats (8 copies) (n=72, bestE=7.9e-12); Pentapeptide repeat region (n=69, bestE=1.3e-13); Pentapeptide repeats (9 copies) (n=51, bestE=1.3e-06); Decapeptide repeat region (n=10, bestE=3.0e-05)	Secreted effector protein PipB2 (n=5, bestE=2.9e-15); FH protein interacting protein FIP2 (n=2, bestE=1.1e-09); Uncharacterized protein slr1819 (n=43, bestE=2.3e-22); Uncharacterized protein in mobD 3'region (n=11, bestE=2.5e-21)	Pentapeptide repeats (8 copies)	low	4/73 sequences have a signal peptide; 3/73 sequences are predicted transmembrane; PFAM consensus: Pentapeptide repeats (8 copies); current evidence does not suggest a strong calcification-specific function
OG0002887	59	194	281.4	1	0.017	0	0	0	1	0.101	0.018	PIF1 (n=18, bestE=1.5e-68); Pif1_2B_dom (n=17, bestE=1.4e-18); AAA_30 (n=7, bestE=1.8e-06); DnaJ (n=3, bestE=2.0e-17)	PIF1-like helicase (n=18, bestE=1.5e-68); DNA helicase Pif1, 2B domain (n=17, bestE=1.4e-18); AAA domain (n=7, bestE=1.8e-06); DnaJ domain (n=3, bestE=2.0e-17)	ATP-dependent DNA helicase PIF1 (n=5, bestE=8.4e-18); ATP-dependent DNA helicase PIF4 (n=3, bestE=2.6e-11); ATP-dependent DNA helicase Pif1 (n=2, bestE=4.5e-12); ATP-dependent DNA helicase PIF7 (n=2, bestE=1.9e-06)	PIF1-like helicase	low	1/59 sequences have a signal peptide; PFAM consensus: PIF1-like helicase; current evidence does not suggest a strong calcification-specific function
OG0003717	51	251	337.7	0	0.000	4	0	0	0						uncharacterized protein family	low	4/51 sequences are predicted transmembrane; current evidence does not suggest a strong calcification-specific function
OG0009246	29	259	341.9	9	0.310	4	0	2	7	0.108	0.047			Adhesive plaque matrix protein (n=1, bestE=2.1e-08)	extracellular matrix or adhesion protein	high	9/29 sequences have a signal peptide; 4/29 sequences are predicted transmembrane; BLAST consensus: Adhesive plaque matrix protein; secreted members are cysteine-rich; features fit a plausible direct role in biomineral deposition or ion handling
OG0009301	29	189	219.4	21	0.724	15	0	11	11	0.083	0.105	SHOCT (n=4, bestE=4.2e-07); PRIMA1 (n=1, bestE=1.1e-04)	Short C-terminal domain (n=4, bestE=4.2e-07); Proline-rich membrane anchor 1 (n=1, bestE=1.1e-04)		short membrane-anchored protein	low	21/29 sequences have a signal peptide; 15/29 sequences are predicted transmembrane; PFAM consensus: Short C-terminal domain; secreted members are cysteine-rich; current evidence does not suggest a strong calcification-specific function
OG0009816	28	446	502.3	2	0.071	6	0	1	2	0.092	0.024	Mannosyl_trans3 (n=15, bestE=7.4e-24)	Mannosyltransferase putative (n=15, bestE=7.4e-24)	Putative alpha-1,3-mannosyltransferase MNN14 (n=9, bestE=1.9e-12); Alpha-1,3-mannosyltransferase MNN15 (n=1, bestE=4.9e-09)	alpha-1,3-mannosyltransferase-like glycosyltransferase	moderate	2/28 sequences have a signal peptide; 6/28 sequences are predicted transmembrane; PFAM consensus: Mannosyltransferase putative; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0010177	28	354	314.7	0	0.000	0	0	0	0			Ank_2 (n=24, bestE=4.2e-18); Ank_4 (n=24, bestE=1.5e-08); Ank (n=24, bestE=1.7e-07); Ank_KRIT1 (n=22, bestE=7.3e-08)	Ankyrin repeats (3 copies) (n=24, bestE=4.2e-18); Ankyrin repeats (many copies) (n=24, bestE=1.5e-08); Ankyrin repeat (n=24, bestE=1.7e-07); KRIT1 ankyrin-repeats domain (n=22, bestE=7.3e-08)	Putative ankyrin repeat protein RBE_0220 (n=15, bestE=3.5e-16); Ankyrin repeat domain-containing protein 29 (n=3, bestE=1.7e-14); GA-binding protein subunit beta-2 (n=1, bestE=1.8e-14); Ankyrin repeat and SOCS box protein 14 (n=1, bestE=1.8e-13)	Ankyrin repeats (3 copies)	low	PFAM consensus: Ankyrin repeats (3 copies); current evidence does not suggest a strong calcification-specific function
OG0010867	27	338	339.8	1	0.037	0	0	0	1	0.102	0.031	Pentapeptide (n=27, bestE=3.6e-13); Pentapeptide_4 (n=23, bestE=1.3e-09); Pentapeptide_3 (n=15, bestE=3.4e-07); Decapeptide (n=1, bestE=4.3e-04)	Pentapeptide repeats (8 copies) (n=27, bestE=3.6e-13); Pentapeptide repeat region (n=23, bestE=1.3e-09); Pentapeptide repeats (9 copies) (n=15, bestE=3.4e-07); Decapeptide repeat region (n=1, bestE=4.3e-04)	Uncharacterized protein slr1819 (n=16, bestE=9.9e-23); Uncharacterized protein in mobD 3'region (n=3, bestE=1.6e-19); Uncharacterized protein slr1851 (n=2, bestE=1.6e-07); Uncharacterized protein slr0516 (n=1, bestE=1.6e-09)	Pentapeptide repeats (8 copies)	low	1/27 sequences have a signal peptide; PFAM consensus: Pentapeptide repeats (8 copies); current evidence does not suggest a strong calcification-specific function
OG0010991	27	340	337.4	4	0.148	1	0	0	4	0.092	0.026				uncharacterized protein family	low	4/27 sequences have a signal peptide; 1/27 sequences are predicted transmembrane; current evidence does not suggest a strong calcification-specific function
OG0011061	27	496	606.8	9	0.333	27	0	9	0			Exostosin_GT47 (n=2, bestE=1.1e-07)	Exostosin GT47 domain (n=2, bestE=1.1e-07)	Putative PWWP domain-containing DNA repair factor 4 (n=1, bestE=6.0e-11); Probable xyloglucan galactosyltransferase GT20 (n=1, bestE=7.5e-08)	exostosin-like transmembrane glycosyltransferase	moderate	9/27 sequences have a signal peptide; 27/27 sequences are predicted transmembrane; PFAM consensus: Exostosin GT47 domain; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0011197	27	262	343.8	1	0.037	2	0	1	1	0.101	0.025	2OG-FeII_Oxy (n=3, bestE=2.4e-07)	2OG-Fe(II) oxygenase superfamily (n=3, bestE=2.4e-07)	RAP domain-containing protein, chloroplastic (n=1, bestE=1.7e-10); Gibberellin 2-beta-dioxygenase 7 (n=1, bestE=5.1e-06)	2OG-Fe(II) oxygenase superfamily	low	1/27 sequences have a signal peptide; 2/27 sequences are predicted transmembrane; PFAM consensus: 2OG-Fe(II) oxygenase superfamily; current evidence does not suggest a strong calcification-specific function
OG0013037	24	339	451.2	5	0.208	6	0	1	5	0.116	0.026	Hydrolase_4 (n=1, bestE=1.5e-04)	Serine aminopeptidase, S33 (n=1, bestE=1.5e-04)	Titin (n=1, bestE=2.7e-05); Protein Obscurin (n=1, bestE=6.3e-05)	Serine aminopeptidase, S33	low	5/24 sequences have a signal peptide; 6/24 sequences are predicted transmembrane; PFAM consensus: Serine aminopeptidase, S33; current evidence does not suggest a strong calcification-specific function
OG0014155	22	417	364.0	11	0.500	2	0	2	11	0.112	0.012	IU_nuc_hydro (n=17, bestE=1.7e-36)	Inosine-uridine preferring nucleoside hydrolase (n=17, bestE=1.7e-36)	Nucleoside hydrolase 4 (n=5, bestE=4.1e-21); Pyrimidine-specific ribonucleoside hydrolase RihA (n=5, bestE=6.0e-15); Nucleoside hydrolase 3 (n=3, bestE=3.7e-20); Probable uridine nucleosidase 2 (n=1, bestE=4.7e-12)	Inosine-uridine preferring nucleoside hydrolase	low	11/22 sequences have a signal peptide; 2/22 sequences are predicted transmembrane; PFAM consensus: Inosine-uridine preferring nucleoside hydrolase; current evidence does not suggest a strong calcification-specific function
OG0014250	22	756	583.7	15	0.682	1	0	0	15	0.127	0.014	Amidase (n=16, bestE=2.4e-39)	Amidase (n=16, bestE=2.4e-39)	Glutamyl-tRNA(Gln) amidotransferase subunit A (n=14, bestE=8.8e-22); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (n=1, bestE=6.1e-18)	amidase or amidotransferase-like enzyme	low	15/22 sequences have a signal peptide; 1/22 sequences are predicted transmembrane; PFAM consensus: Amidase; current evidence does not suggest a strong calcification-specific function
OG0015153	20	520	688.0	1	0.050	17	0	3	0					Protein piccolo (n=2, bestE=4.3e-08); Subtelomeric hrmA-associated cluster protein AFUA_5G14930 (n=1, bestE=1.3e-10)	Protein piccolo	low	1/20 sequences have a signal peptide; 17/20 sequences are predicted transmembrane; BLAST consensus: Protein piccolo; current evidence does not suggest a strong calcification-specific function
OG0016203	18	384	441.4	1	0.056	15	0	2	0			WD40_RLD (n=1, bestE=1.9e-14); Collagen (n=1, bestE=5.1e-08); RCC1_2 (n=1, bestE=1.9e-06); RCC1 (n=1, bestE=4.0e-06)	RCC1-like domain (n=1, bestE=1.9e-14); Collagen triple helix repeat (20 copies) (n=1, bestE=5.1e-08); Regulator of chromosome condensation (RCC1) repeat (n=1, bestE=1.9e-06); Regulator of chromosome condensation (RCC1) repeat (n=1, bestE=4.0e-06)	Collagen alpha-2(IV) chain (n=1, bestE=8.0e-19); Ultraviolet-B receptor UVR8 (n=1, bestE=1.8e-12); DNA-directed RNA polymerase II subunit RPB1 (n=1, bestE=8.3e-06)	RCC1-like repeat protein	unlikely	1/18 sequences have a signal peptide; 15/18 sequences are predicted transmembrane; PFAM consensus: RCC1-like domain; evidence points to a housekeeping intracellular role with no obvious calcification link
OG0016211	18	259	233.7	2	0.111	18	0	0	0			SUR7 (n=1, bestE=1.2e-06)	SUR7/PalI family (n=1, bestE=1.2e-06)		SUR7/PalI-like membrane organizer	low	2/18 sequences have a signal peptide; 18/18 sequences are predicted transmembrane; PFAM consensus: SUR7/PalI family; current evidence does not suggest a strong calcification-specific function
OG0017138	16	544	516.4	2	0.125	0	0	0	2	0.100	0.018	Sulfatase (n=14, bestE=1.8e-47); Polysacc_lyase (n=1, bestE=1.3e-15); Kelch_1 (n=1, bestE=2.1e-13); Kelch_KLHDC2_KLHL20_DRC7 (n=1, bestE=3.1e-12)	Sulfatase (n=14, bestE=1.8e-47); Polysaccharide lyase (n=1, bestE=1.3e-15); Kelch motif (n=1, bestE=2.1e-13); KLHDC2/KLHL20/DRC7 Kelch-repeats domain (n=1, bestE=3.1e-12)	Arylsulfatase B (n=13, bestE=3.6e-95); Arylsulfatase J (n=1, bestE=4.2e-59); Arylsulfatase I (n=1, bestE=1.7e-06)	arylsulfatase / extracellular sulfatase	moderate	2/16 sequences have a signal peptide; PFAM consensus: Sulfatase; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0017238	16	384	552.4	0	0.000	0	0	0	0					tRNA ligase 1 (n=11, bestE=6.2e-25)	tRNA ligase 1	low	BLAST consensus: tRNA ligase 1; current evidence does not suggest a strong calcification-specific function
OG0017305	16	299	285.9	1	0.062	0	0	0	1	0.019	0.093	Sulphotransf (n=3, bestE=1.4e-04)	Stf0 sulphotransferase (n=3, bestE=1.4e-04)		Stf0 sulphotransferase	low	1/16 sequences have a signal peptide; PFAM consensus: Stf0 sulphotransferase; secreted members are cysteine-rich; current evidence does not suggest a strong calcification-specific function
OG0017361	16	262	321.0	1	0.062	2	0	1	1	0.087	0.015	DJ-1_PfpI (n=16, bestE=4.0e-24); HTH_18 (n=1, bestE=1.2e-24); HTH_AraC (n=1, bestE=1.6e-08)	DJ-1/PfpI family (n=16, bestE=4.0e-24); Helix-turn-helix domain (n=1, bestE=1.2e-24); Bacterial regulatory helix-turn-helix proteins, AraC family (n=1, bestE=1.6e-08)	Isonitrile hydratase (n=14, bestE=1.6e-16); HTH-type transcriptional regulator CdhR (n=1, bestE=3.6e-84); HTH-type transcriptional regulator GbdR (n=1, bestE=2.5e-07)	DJ-1/PfpI family	low	1/16 sequences have a signal peptide; 2/16 sequences are predicted transmembrane; PFAM consensus: DJ-1/PfpI family; current evidence does not suggest a strong calcification-specific function
OG0017362	16	400	571.4	7	0.438	2	0	2	5	0.114	0.021	RCC_reductase (n=3, bestE=1.0e-06); Exo_endo_phos (n=1, bestE=2.1e-12)	Red chlorophyll catabolite reductase (RCC reductase) (n=3, bestE=1.0e-06); Endonuclease/Exonuclease/phosphatase family (n=1, bestE=2.1e-12)	DNA-(apurinic or apyrimidinic site) endonuclease (n=1, bestE=1.2e-27); Red chlorophyll catabolite reductase 1, chloroplastic (n=1, bestE=6.5e-05)	Red chlorophyll catabolite reductase (RCC reductase)	low	7/16 sequences have a signal peptide; 2/16 sequences are predicted transmembrane; PFAM consensus: Red chlorophyll catabolite reductase (RCC reductase); current evidence does not suggest a strong calcification-specific function
OG0017884	15	329	384.0	0	0.000	4	0	0	0			Acetyltransf_1 (n=7, bestE=1.2e-07); Acetyltransf_7 (n=7, bestE=2.2e-07); RNF34L-like_3rd (n=2, bestE=9.9e-05)	Acetyltransferase (GNAT) family (n=7, bestE=1.2e-07); Acetyltransferase (GNAT) domain (n=7, bestE=2.2e-07); E3 ubiquitin-protein ligase rififylin-like domain (n=2, bestE=9.9e-05)	Mycothiol acetyltransferase (n=1, bestE=2.4e-05)	Acetyltransferase (GNAT) family	low	4/15 sequences are predicted transmembrane; PFAM consensus: Acetyltransferase (GNAT) family; current evidence does not suggest a strong calcification-specific function
OG0017903	15	403	364.3	0	0.000	0	0	0	0			FAD_binding_6 (n=10, bestE=2.0e-09); Globin (n=5, bestE=3.8e-11); NAD_binding_1 (n=2, bestE=1.7e-09); Protoglobin (n=1, bestE=1.9e-06)	Oxidoreductase FAD-binding domain (n=10, bestE=2.0e-09); Globin (n=5, bestE=3.8e-11); Oxidoreductase NAD-binding domain (n=2, bestE=1.7e-09); Protoglobin (n=1, bestE=1.9e-06)	Flavohemoprotein (n=14, bestE=2.2e-106)	FAD-dependent oxidoreductase	low	PFAM consensus: Oxidoreductase FAD-binding domain; current evidence does not suggest a strong calcification-specific function
OG0017965	15	228	326.3	0	0.000	0	0	0	0			Kelch_1 (n=5, bestE=6.3e-10); Kelch_KLHDC2_KLHL20_DRC7 (n=5, bestE=8.9e-09); NANM (n=5, bestE=2.1e-08); Beta-prop_FBX42 (n=3, bestE=4.7e-04)	Kelch motif (n=5, bestE=6.3e-10); KLHDC2/KLHL20/DRC7 Kelch-repeats domain (n=5, bestE=8.9e-09); N-acetylneuraminate epimerase (n=5, bestE=2.1e-08); FBX42, beta-propeller domain (n=3, bestE=4.7e-04)	Kelch repeat-containing protein At3g27220 (n=3, bestE=1.6e-10); Kelch-like ECH-associated protein 1 (n=1, bestE=1.1e-10); Kelch-like protein 36 (n=1, bestE=1.0e-09)	Kelch motif	low	PFAM consensus: Kelch motif; current evidence does not suggest a strong calcification-specific function
OG0018519	14	153	158.3	0	0.000	13	0	0	0						uncharacterized protein family	low	13/14 sequences are predicted transmembrane; current evidence does not suggest a strong calcification-specific function
OG0018986	13	830	782.4	7	0.538	10	0	8	1	0.126	0.045	FG-GAP_3 (n=12, bestE=1.8e-14); FG-GAP (n=4, bestE=1.3e-04); 7tm_3 (n=2, bestE=1.0e-32)	FG-GAP-like repeat (n=12, bestE=1.8e-14); FG-GAP repeat (n=4, bestE=1.3e-04); 7 transmembrane sweet-taste receptor of 3 GCPR (n=2, bestE=1.0e-32)	Metabotropic glutamate receptor-like protein E (n=2, bestE=1.1e-12)	integrin alpha-like cell-surface receptor	moderate	7/13 sequences have a signal peptide; 10/13 sequences are predicted transmembrane; PFAM consensus: FG-GAP-like repeat; secreted members are cysteine-rich; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0019067	13	348	384.2	0	0.000	5	0	3	0			LRR_TMOD-LMOD (n=7, bestE=3.8e-07); LRR_6 (n=4, bestE=8.7e-05)	TMOD/LMOD Leucine-rich domain (n=7, bestE=3.8e-07); Leucine Rich repeat (n=4, bestE=8.7e-05)	Protein NLRC3 (n=5, bestE=4.5e-11); NLR family CARD domain-containing protein 3 (n=4, bestE=1.5e-16); Nucleotide-binding oligomerization domain-containing protein 1 (n=1, bestE=1.2e-10); Nucleotide-binding oligomerization domain-containing protein 2 (n=1, bestE=7.5e-10)	TMOD/LMOD Leucine-rich domain	low	5/13 sequences are predicted transmembrane; PFAM consensus: TMOD/LMOD Leucine-rich domain; current evidence does not suggest a strong calcification-specific function
