orthogroup	seq_count	median_length	mean_length	signal_peptide_count	signal_peptide_fraction	tm_protein_count	beta_barrel_count	sp_tm_count	secreted_non_tm_count	secreted_acidic_fraction_mean	secreted_cysteine_fraction_mean	top_pfam_domains	top_pfam_descriptions	top_blast_consensus	inferred_function	calcification_relevance	calcification_rationale
OG0019078	13	461	366.0	0	0.000	0	0	0	0			GST_N (n=11, bestE=2.2e-13); GST_C (n=10, bestE=3.1e-14); GST_N_2 (n=10, bestE=8.7e-09); GST_N_3 (n=10, bestE=1.9e-07)	Glutathione S-transferase, N-terminal domain (n=11, bestE=2.2e-13); Glutathione S-transferase, C-terminal domain (n=10, bestE=3.1e-14); Glutathione S-transferase, N-terminal domain (n=10, bestE=8.7e-09); Glutathione S-transferase, N-terminal domain (n=10, bestE=1.9e-07)	Elongation factor 1-gamma 2 (n=6, bestE=4.5e-59); Elongation factor 1-gamma (n=3, bestE=2.5e-55); Probable elongation factor 1-gamma 1 (n=2, bestE=2.5e-39); Elongation factor 1-gamma 1 (n=1, bestE=3.6e-50)	Glutathione S-transferase, N-terminal domain	low	PFAM consensus: Glutathione S-transferase, N-terminal domain; current evidence does not suggest a strong calcification-specific function
OG0019174	13	687	667.9	5	0.385	0	0	0	5	0.115	0.019	Amidase (n=13, bestE=1.6e-31)	Amidase (n=13, bestE=1.6e-31)	Glutamyl-tRNA(Gln) amidotransferase subunit A (n=7, bestE=3.0e-19); Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (n=5, bestE=2.9e-19); Glutamyl-tRNA(Gln) amidotransferase subunit A 1 (n=1, bestE=5.7e-17)	amidase or amidotransferase-like enzyme	low	5/13 sequences have a signal peptide; PFAM consensus: Amidase; current evidence does not suggest a strong calcification-specific function
OG0019180	13	155	160.0	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0019790	12	994	1103.4	0	0.000	0	0	0	0			HECT (n=9, bestE=2.5e-46); Ank_2 (n=4, bestE=1.6e-09); Ank_4 (n=1, bestE=4.5e-04)	HECT-domain (ubiquitin-transferase) (n=9, bestE=2.5e-46); Ankyrin repeats (3 copies) (n=4, bestE=1.6e-09); Ankyrin repeats (many copies) (n=1, bestE=4.5e-04)	E3 ubiquitin-protein ligase hecd-1 (n=7, bestE=4.2e-60); E3 ubiquitin-protein ligase UPL3 (n=2, bestE=2.4e-47); Putative ankyrin repeat protein L88 (n=1, bestE=1.4e-06); Putative ankyrin repeat protein FPV245 (n=1, bestE=5.4e-06)	HECT-domain (ubiquitin-transferase)	low	PFAM consensus: HECT-domain (ubiquitin-transferase); current evidence does not suggest a strong calcification-specific function
OG0019817	12	419	368.8	8	0.667	1	0	1	7	0.101	0.015	NAD_binding_8 (n=9, bestE=6.1e-06); FAD_binding_3 (n=8, bestE=8.1e-14)	NAD(P)-binding Rossmann-like domain (n=9, bestE=6.1e-06); FAD binding domain (n=8, bestE=8.1e-14)	Aurachin C monooxygenase/isomerase (n=5, bestE=4.0e-28); 3-amino-4-hydroxybenzoate 2-monooxygenase (n=2, bestE=6.0e-25); Zeaxanthin epoxidase, chloroplastic (n=1, bestE=2.9e-25); 3-amino-4-hydroxybenzoate 2-monooxygenase PtmB3 (n=1, bestE=3.0e-08)	FAD-dependent oxidoreductase	low	8/12 sequences have a signal peptide; 1/12 sequences are predicted transmembrane; PFAM consensus: NAD(P)-binding Rossmann-like domain; current evidence does not suggest a strong calcification-specific function
OG0019873	12	415	381.4	0	0.000	0	0	0	0			Aminotran_1_2 (n=10, bestE=8.2e-48)	Aminotransferase class I and II (n=10, bestE=8.2e-48)	1-aminocyclopropane-1-carboxylate synthase 11 (n=7, bestE=1.7e-71); 1-aminocyclopropane-1-carboxylate synthase 4 (n=2, bestE=3.2e-25); 1-aminocyclopropane-1-carboxylate synthase 8 (n=2, bestE=3.3e-15)	Aminotransferase class I and II	low	PFAM consensus: Aminotransferase class I and II; current evidence does not suggest a strong calcification-specific function
OG0019887	12	271	297.0	0	0.000	0	0	0	0			MMR_HSR1 (n=4, bestE=2.3e-09); Intron_maturas2 (n=4, bestE=5.2e-08); CysS_C (n=1, bestE=7.9e-05)	50S ribosome-binding GTPase (n=4, bestE=2.3e-09); Type II intron maturase (n=4, bestE=5.2e-08); Cysteinyl-tRNA ligase anticodon binding domain (n=1, bestE=7.9e-05)	Mitochondrial GTPase 1 (n=1, bestE=1.2e-06); Mitochondrial ribosome-associated GTPase 1 (n=1, bestE=1.3e-06)	50S ribosome-binding GTPase	unlikely	PFAM consensus: 50S ribosome-binding GTPase; evidence points to a housekeeping intracellular role with no obvious calcification link
OG0019917	12	494	510.8	1	0.083	3	0	2	1	0.110	0.020	cNMP_binding (n=2, bestE=4.3e-15)	Cyclic nucleotide-binding domain (n=2, bestE=4.3e-15)	cAMP-dependent protein kinase regulatory subunit (n=2, bestE=2.4e-18)	protein kinase	low	1/12 sequences have a signal peptide; 3/12 sequences are predicted transmembrane; PFAM consensus: Cyclic nucleotide-binding domain; current evidence does not suggest a strong calcification-specific function
OG0020622	11	748	724.6	1	0.091	0	0	0	1	0.097	0.014	AAA_30 (n=10, bestE=1.3e-39); AAA_19 (n=10, bestE=2.6e-38); UvrD_C_2 (n=10, bestE=3.0e-18); SH3_13 (n=10, bestE=1.2e-09)	AAA domain (n=10, bestE=1.3e-39); AAA domain (n=10, bestE=2.6e-38); UvrD-like helicase C-terminal domain (n=10, bestE=3.0e-18); ATP-dependent RecD-like DNA helicase SH3 domain (n=10, bestE=1.2e-09)	ATP-dependent RecD2 DNA helicase (n=11, bestE=3.1e-72)	AAA domain	low	1/11 sequences have a signal peptide; PFAM consensus: AAA domain; current evidence does not suggest a strong calcification-specific function
OG0020657	11	353	339.1	3	0.273	0	0	0	3	0.126	0.031				uncharacterized protein family	low	3/11 sequences have a signal peptide; current evidence does not suggest a strong calcification-specific function
OG0020696	11	242	251.7	1	0.091	3	0	0	1	0.142	0.044				uncharacterized protein family	moderate	1/11 sequences have a signal peptide; 3/11 sequences are predicted transmembrane; secreted members are acidic; secreted members are cysteine-rich; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0020700	11	188	387.3	0	0.000	0	0	0	0			PDZ_2 (n=3, bestE=3.4e-06); PDZ_6 (n=2, bestE=1.4e-04)	PDZ domain (n=3, bestE=3.4e-06); PDZ domain (n=2, bestE=1.4e-04)		PDZ domain	low	PFAM consensus: PDZ domain; current evidence does not suggest a strong calcification-specific function
OG0020703	11	336	324.6	4	0.364	0	0	0	4	0.109	0.036	Sulfotransfer_3 (n=1, bestE=1.1e-06)	Sulfotransferase family (n=1, bestE=1.1e-06)	Heparan-sulfate 6-O-sulfotransferase 1 (n=2, bestE=2.9e-05)	glycan sulfotransferase	moderate	4/11 sequences have a signal peptide; PFAM consensus: Sulfotransferase family; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0020706	11	297	265.3	0	0.000	5	0	1	0						uncharacterized protein family	low	5/11 sequences are predicted transmembrane; current evidence does not suggest a strong calcification-specific function
OG0020728	11	306	299.2	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0020729	11	292	282.1	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0021347	10	338	313.4	5	0.500	0	0	0	5	0.109	0.031	Trypsin (n=10, bestE=9.4e-45); Trypsin_2 (n=3, bestE=1.3e-04); DUF1986 (n=1, bestE=2.7e-05)	Trypsin (n=10, bestE=9.4e-45); Trypsin-like peptidase domain (n=3, bestE=1.3e-04); Domain of unknown function (DUF1986) (n=1, bestE=2.7e-05)	Trypsin-1 (n=3, bestE=9.5e-37); Snake venom serine protease HS112 (n=2, bestE=1.2e-36); Trypsin 3A1 (n=1, bestE=2.3e-38); Complement factor D (n=1, bestE=6.3e-26)	secreted serine protease	moderate	5/10 sequences have a signal peptide; PFAM consensus: Trypsin; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0021406	10	240	229.6	0	0.000	0	0	0	0			adh_short (n=10, bestE=3.4e-57); adh_short_C2 (n=10, bestE=8.1e-56); KR (n=9, bestE=6.0e-14); SDR (n=4, bestE=6.6e-10)	short chain dehydrogenase (n=10, bestE=3.4e-57); Enoyl-(Acyl carrier protein) reductase (n=10, bestE=8.1e-56); KR domain (n=9, bestE=6.0e-14); SDR-like rossmann domain (n=4, bestE=6.6e-10)	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (n=9, bestE=3.2e-53); Gluconate 5-dehydrogenase (n=1, bestE=1.4e-47)	short chain dehydrogenase	low	PFAM consensus: short chain dehydrogenase; current evidence does not suggest a strong calcification-specific function
OG0021517	10	260	261.6	0	0.000	0	0	0	0			F-box-like (n=8, bestE=5.9e-07); F-box (n=4, bestE=7.2e-09)	F-box-like (n=8, bestE=5.9e-07); F-box domain (n=4, bestE=7.2e-09)		F-box-like	low	PFAM consensus: F-box-like; current evidence does not suggest a strong calcification-specific function
OG0021520	10	533	586.8	0	0.000	0	1	0	0						uncharacterized protein family	low	1/10 sequences are predicted beta-barrel; current evidence does not suggest a strong calcification-specific function
OG0021523	10	317	324.2	0	0.000	0	0	0	0			PP2C (n=6, bestE=4.6e-39)	Protein phosphatase 2C (n=6, bestE=4.6e-39)	Probable protein phosphatase 2C 35 (n=3, bestE=6.9e-38); Probable protein phosphatase 2C 61 (n=2, bestE=1.8e-36); Probable protein phosphatase 2C 64 (n=1, bestE=2.1e-34)	Protein phosphatase 2C	low	PFAM consensus: Protein phosphatase 2C; current evidence does not suggest a strong calcification-specific function
OG0021531	10	246	272.3	0	0.000	0	0	0	0			PDZ_6 (n=10, bestE=1.0e-11); PDZ_2 (n=5, bestE=3.5e-08); PDZ (n=4, bestE=5.4e-07)	PDZ domain (n=10, bestE=1.0e-11); PDZ domain (n=5, bestE=3.5e-08); PDZ domain (n=4, bestE=5.4e-07)	Periplasmic serine endoprotease DegP (n=1, bestE=9.2e-06); Tight junction protein ZO-3 (n=1, bestE=1.2e-05); Putative serine protease HhoB (n=1, bestE=1.0e-04)	secreted serine protease	low	PFAM consensus: PDZ domain; current evidence does not suggest a strong calcification-specific function
OG0022355	9	723	598.4	6	0.667	6	0	6	2	0.089	0.034	DUF2237 (n=7, bestE=4.6e-18)	Uncharacterized protein conserved in bacteria (DUF2237) (n=7, bestE=4.6e-18)		Uncharacterized protein conserved in bacteria (DUF2237)	low	6/9 sequences have a signal peptide; 6/9 sequences are predicted transmembrane; PFAM consensus: Uncharacterized protein conserved in bacteria (DUF2237); current evidence does not suggest a strong calcification-specific function
OG0022381	9	631	512.9	0	0.000	4	0	1	0			FAD_binding_1 (n=8, bestE=2.1e-42); NAD_binding_1 (n=8, bestE=5.3e-16); Flavodoxin_1 (n=7, bestE=1.4e-32)	FAD binding domain (n=8, bestE=2.1e-42); Oxidoreductase NAD-binding domain (n=8, bestE=5.3e-16); Flavodoxin (n=7, bestE=1.4e-32)	NADPH--cytochrome P450 reductase 3 (n=4, bestE=2.7e-130); NADPH--cytochrome P450 reductase (n=3, bestE=3.5e-132); NADPH--cytochrome P450 reductase 2 (n=2, bestE=4.9e-128)	FAD-dependent oxidoreductase	low	4/9 sequences are predicted transmembrane; PFAM consensus: FAD binding domain; current evidence does not suggest a strong calcification-specific function
OG0022455	9	145	176.8	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0022473	9	365	330.8	3	0.333	3	0	3	1	0.107	0.019				uncharacterized protein family	low	3/9 sequences have a signal peptide; 3/9 sequences are predicted transmembrane; current evidence does not suggest a strong calcification-specific function
OG0022474	9	225	215.0	0	0.000	0	0	0	0			F-box-like (n=8, bestE=3.6e-10); F-box (n=6, bestE=1.9e-06)	F-box-like (n=8, bestE=3.6e-10); F-box domain (n=6, bestE=1.9e-06)		F-box-like	low	PFAM consensus: F-box-like; current evidence does not suggest a strong calcification-specific function
OG0022492	9	421	472.2	0	0.000	0	0	0	0			Beta-prop_WDR3_1st (n=5, bestE=7.6e-06); PDZ_6 (n=4, bestE=1.7e-07); PDZ (n=4, bestE=4.7e-05); Beta-prop_TEP1_C (n=3, bestE=1.6e-04)	WDR3 first beta-propeller domain (n=5, bestE=7.6e-06); PDZ domain (n=4, bestE=1.7e-07); PDZ domain (n=4, bestE=4.7e-05); TEP-1 C-terminal beta-propeller (n=3, bestE=1.6e-04)	Myosin heavy chain kinase B (n=4, bestE=2.6e-10); Zinc finger CCCH domain-containing protein 17 (n=1, bestE=1.1e-07)	WDR3 first beta-propeller domain	low	PFAM consensus: WDR3 first beta-propeller domain; current evidence does not suggest a strong calcification-specific function
OG0022500	9	274	284.7	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0022520	9	259	249.8	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0022524	9	292	345.0	0	0.000	0	0	0	0			Pentapeptide (n=9, bestE=6.2e-12); Pentapeptide_4 (n=9, bestE=4.7e-09); Pentapeptide_3 (n=5, bestE=2.1e-07); Decapeptide (n=1, bestE=2.4e-04)	Pentapeptide repeats (8 copies) (n=9, bestE=6.2e-12); Pentapeptide repeat region (n=9, bestE=4.7e-09); Pentapeptide repeats (9 copies) (n=5, bestE=2.1e-07); Decapeptide repeat region (n=1, bestE=2.4e-04)	Pentapeptide repeat protein MfpA (n=3, bestE=1.5e-14); Uncharacterized protein slr1819 (n=4, bestE=1.5e-22); Uncharacterized protein in mobD 3'region (n=2, bestE=9.5e-29)	Pentapeptide repeats (8 copies)	low	PFAM consensus: Pentapeptide repeats (8 copies); current evidence does not suggest a strong calcification-specific function
OG0022528	9	275	320.3	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0023496	8	410	411.4	0	0.000	0	0	0	0			Pkinase (n=8, bestE=8.6e-36); PK_Tyr_Ser-Thr (n=8, bestE=4.0e-24); Kdo (n=1, bestE=3.3e-05)	Protein kinase domain (n=8, bestE=8.6e-36); Protein tyrosine and serine/threonine kinase (n=8, bestE=4.0e-24); Lipopolysaccharide kinase (Kdo/WaaP) family (n=1, bestE=3.3e-05)	Cyclin-G-associated kinase (n=4, bestE=7.0e-29); BMP-2-inducible protein kinase (n=2, bestE=9.4e-30); Probable serine/threonine-protein kinase DDB_G0276461 (n=1, bestE=5.6e-29); Probable serine/threonine-protein kinase HAL5-like (n=1, bestE=1.4e-11)	protein kinase	low	PFAM consensus: Protein kinase domain; current evidence does not suggest a strong calcification-specific function
OG0023566	8	544	475.0	3	0.375	1	0	0	2	0.087	0.008	RHD3_GTPase (n=3, bestE=5.8e-10)	Root hair defective 3 GTP-binding protein (RHD3) GTPase domain (n=3, bestE=5.8e-10)	Protein SEY1 homolog (n=2, bestE=1.6e-18); Protein SEY1 (n=2, bestE=4.8e-11); Protein ROOT HAIR DEFECTIVE 3 homolog 2 (n=1, bestE=1.6e-11)	ER membrane fusion dynamin-like GTPase	low	3/8 sequences have a signal peptide; 1/8 sequences are predicted transmembrane; PFAM consensus: Root hair defective 3 GTP-binding protein (RHD3) GTPase domain; current evidence does not suggest a strong calcification-specific function
OG0023594	8	583	565.5	1	0.125	1	0	1	0			Glyco_transf_8 (n=6, bestE=2.0e-19); Ank_2 (n=1, bestE=3.0e-13); LRR_5 (n=1, bestE=5.1e-12); Ank_4 (n=1, bestE=1.2e-05)	Glycosyl transferase family 8 (n=6, bestE=2.0e-19); Ankyrin repeats (3 copies) (n=1, bestE=3.0e-13); BspA type Leucine rich repeat region (6 copies) (n=1, bestE=5.1e-12); Ankyrin repeats (many copies) (n=1, bestE=1.2e-05)	Glycosyltransferase 8 domain-containing protein 1 (n=2, bestE=2.4e-07); Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (n=1, bestE=1.4e-11); Probable galacturonosyltransferase-like 4 (n=1, bestE=1.5e-06); Probable galacturonosyltransferase-like 2 (n=1, bestE=5.3e-05)	matrix polysaccharide glycosyltransferase	moderate	1/8 sequences have a signal peptide; 1/8 sequences are predicted transmembrane; PFAM consensus: Glycosyl transferase family 8; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0023657	8	332	331.0	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0023790	8	313	306.9	1	0.125	0	0	0	1	0.124	0.014	RCC_reductase (n=6, bestE=6.8e-08)	Red chlorophyll catabolite reductase (RCC reductase) (n=6, bestE=6.8e-08)	Red chlorophyll catabolite reductase (Fragment) (n=3, bestE=2.0e-06)	Red chlorophyll catabolite reductase (RCC reductase)	low	1/8 sequences have a signal peptide; PFAM consensus: Red chlorophyll catabolite reductase (RCC reductase); current evidence does not suggest a strong calcification-specific function
OG0024846	7	362	333.0	1	0.143	0	0	0	1	0.038	0.032	TOD1_MUCI70 (n=3, bestE=2.5e-11)	TOD1/MUCI70, glycosyltransferase-like domain (n=3, bestE=2.5e-11)	Probable hexosyltransferase MUCI70 (n=1, bestE=1.1e-05)	matrix polysaccharide glycosyltransferase	moderate	1/7 sequences have a signal peptide; PFAM consensus: TOD1/MUCI70, glycosyltransferase-like domain; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0024979	7	534	492.0	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0025015	7	168	167.3	0	0.000	7	0	0	0						uncharacterized protein family	low	7/7 sequences are predicted transmembrane; current evidence does not suggest a strong calcification-specific function
OG0025016	7	219	216.6	0	0.000	0	0	0	0						uncharacterized protein family	low	current evidence does not suggest a strong calcification-specific function
OG0025059	7	175	200.7	5	0.714	0	0	0	5	0.113	0.022				secreted protein with no strong domain assignment	moderate	5/7 sequences have a signal peptide; features fit extracellular, transport, or trafficking roles that could influence calcification indirectly
OG0026865	6	438	491.8	0	0.000	0	0	0	0			JmjC (n=4, bestE=3.8e-09); Cupin_8 (n=1, bestE=7.5e-09)	JmjC domain, hydroxylase (n=4, bestE=3.8e-09); Cupin-like domain (n=1, bestE=7.5e-09)	Bifunctional arginine demethylase and lysyl-hydroxylase PSR (n=3, bestE=3.5e-21); Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (n=2, bestE=2.1e-09); Arginine-specific demethylase JMJ22 (n=1, bestE=7.3e-17)	JmjC domain, hydroxylase	low	PFAM consensus: JmjC domain, hydroxylase; current evidence does not suggest a strong calcification-specific function
