orthogroup	predicted_function	function_basis	calcification_relevance	calcification_rationale	annotation_confidence
OG0000049	Coiled-coil FKBP15-like scaffold protein	FKBP15-like BLAST and PFAM hits plus pervasive coiled-coils and mostly soluble topology	possible	Could influence vesicle trafficking or cytoskeletal organization needed for secretion of calcification factors	medium
OG0001332	Hedgehog/Warthog-like secreted morphogen	Dominant hedgehog and warthog BLAST hits plus the Hint module and precursor-like membrane topology	possible	Extracellular developmental signals could regulate morphogenesis of calcifying surfaces rather than mineral chemistry directly	high
OG0001976	Pentapeptide-repeat-rich extracellular repeat protein	Pentapeptide-repeat PFAM matches with repetitive low-complexity BLAST hits and a minority of secreted members	possible	Repetitive secreted proteins can act as matrix-associated scaffolds but the evidence is weak and the family is poorly resolved	low
OG0002887	PIF1-family DNA helicase	High-confidence PIF1 and PIF4 helicase hits plus helicase PFAM domains	low	Genome-maintenance housekeeping protein with no clear biomineralization link	high
OG0003717	Uncharacterized protein family with occasional transmembrane members	No informative BLAST or PFAM hits and mostly globular topology with a few membrane variants	low	There is not enough evidence beyond generic membrane association to connect this family to calcification	low
OG0009246	Secreted adhesive ECM/collagen-like protein	Adhesive plaque matrix and collagen-like BLAST hits together with strong secretion signatures	high	Secreted adhesive or collagenous matrix proteins are prime candidates for organic templates that nucleate or shape mineral deposition	medium
OG0009301	Secreted or membrane-anchored surface protein	Very strong signal peptide and signal-anchor enrichment plus a PRIMA1-like membrane-anchor PFAM hit	high	Membrane-tethered extracellular proteins could display or organize calcification-matrix components at the cell surface	medium
OG0009816	Golgi alpha-1,3-mannosyltransferase	MNN12 MNN13 and MNN14 BLAST hits plus mannosyltransferase PFAM support	high	Glycosylation of secreted matrix proteins and polysaccharides can modulate calcium binding and crystal growth	high
OG0010177	Ankyrin-repeat scaffold protein	Ankyrin-repeat BLAST and PFAM matches without other specific functional features	low	Generic protein-protein interaction scaffold with no direct mineralization signal	medium
OG0010867	Pentapeptide-repeat-rich protein	Pentapeptide-repeat PFAM and repetitive low-information BLAST hits	low	Repeat proteins may be structural but there is no specific evidence tying this family to calcification	low
OG0010991	Uncharacterized secreted protein family	No informative homology but several sequences carry signal peptides and most members are soluble	possible	Secreted low-complexity proteins are plausible matrix components but the biochemical role is unresolved	low
OG0011061	Membrane exostosin or GT47 glycosyltransferase	Exostosin GT47 PFAM support plus universal membrane-associated topology	high	Glycan polymer synthesis is a strong candidate process for building the organic matrix used during calcification	high
OG0011197	2OG-Fe(II) oxygenase	2OG-Fe(II) oxygenase PFAM hits and mixed oxidase BLAST matches	possible	Oxidative modification of metabolites or proteins could indirectly affect matrix maturation or redox control during calcification	low
OG0013037	Large cell-surface or extracellular scaffold protein	Very large proteins with mixed signal peptide and transmembrane signatures but only weak obscurin titin or peptidase hits	possible	Large surface scaffolds may participate in adhesion or matrix organization but the orthology is unclear	low
OG0014155	Secreted nucleoside hydrolase	Nucleoside hydrolase BLAST and PFAM support together with many secreted members	low	Likely involved in extracellular nucleotide salvage or nutrient turnover rather than a specific calcification step	high
OG0014250	Secreted amidase-like hydrolase	Amidase PFAM support with amidase-like BLAST matches and strong secretion enrichment	possible	Secreted hydrolases could remodel amide-containing wall or matrix components but the link is indirect	medium
OG0015153	Large membrane-associated scaffold or coiled-coil protein	Piccolo or titin-like BLAST hits with strong transmembrane enrichment and no conserved PFAM model	possible	Cytoskeletal or membrane scaffolds may influence vesicle targeting or secretion of biomineral components	low
OG0016203	Collagen-like extracellular matrix protein	Collagen IV BLAST hits and a collagen triple-helix PFAM repeat	high	Collagenous extracellular matrix is a classic mineral-binding scaffold and a strong calcification candidate	high
OG0016211	SUR7 or PalI-family multispan membrane organizer	SUR7 or PalI PFAM support and universal multispan membrane topology	possible	Membrane microdomain organization and pH-responsive plasma-membrane functions could affect ion transport at calcification sites	medium
OG0017138	Secreted arylsulfatase	Arylsulfatase BLAST and sulfatase PFAM hits with secretory signals in a subset of members	high	Remodeling sulfate groups on extracellular glycans can strongly alter calcium binding and mineral-matrix interactions	high
OG0017238	tRNA ligase 1	Consistent tRNA ligase BLAST matches and soluble enzyme architecture	low	Core RNA-processing enzyme with no specific calcification link	high
OG0017305	Secreted sulfotransferase	Stf0-like sulfotransferase PFAM hits and multiple signal peptides	high	Sulfation of extracellular polysaccharides or proteins is directly relevant to negatively charged mineral-binding matrices	medium
OG0017361	DJ-1 or PfpI protease/chaperone-like protein	DJ-1 PfpI PFAM hits with mixed enzyme BLAST calls and mostly soluble topology	low	Most likely a generic proteostasis or stress-response factor with only an indirect calcification connection	medium
OG0017362	Secreted oxidoreductase or hydrolase-like protein	RCC-reductase PFAM matches with mixed BLAST calls and multiple signal peptides	possible	It could modify extracellular cofactors or matrix chemistry but the biochemical role remains unresolved	low
OG0017884	GNAT-family acetyltransferase	GNAT acetyltransferase PFAM support and acetyltransferase-like BLAST hits	low	General protein or metabolite acetylation has no specific calcification evidence here	medium
OG0017903	Flavohemoprotein redox enzyme	Flavohemoprotein BLAST hits with globin and FAD/NAD-binding PFAM domains	possible	Redox and nitric-oxide homeostasis can influence biomineralization physiology indirectly	high
OG0017965	Kelch-repeat scaffold protein	Kelch PFAM matches and kelch-repeat BLAST hits	low	Likely a cytoskeletal or ubiquitin-associated scaffold without direct mineralization evidence	medium
OG0018519	Uncharacterized multipass membrane protein	Nearly universal transmembrane topology with no informative homology or domains	possible	Membrane proteins could participate in ion flux or acid-base control but the function is unknown	low
OG0018986	Adhesion receptor with FG-GAP repeats	FG-GAP PFAM repeats plus receptor-like BLAST hits and strong secretory or membrane topology	high	An adhesion receptor could sense or organize extracellular matrix during mineral deposition	medium
OG0019067	LRR-containing signaling or scaffold protein	Leucine-rich repeat PFAM matches and NLRC-like BLAST hits	possible	Signaling scaffolds may regulate stress or developmental programs linked to calcification but not matrix chemistry directly	medium
OG0019078	Elongation factor 1-gamma or GST-like protein	EF1-gamma BLAST matches and GST-like PFAM domains	low	Housekeeping translation-associated factor with no specific calcification evidence	high
OG0019174	Secreted amidase-like hydrolase	Amidase PFAM matches with strong signal-peptide enrichment	possible	Secreted hydrolase activity could remodel extracellular polymers but the connection to calcification is indirect	medium
OG0019180	Uncharacterized soluble protein	No domain or homology signal and almost entirely globular topology	low	Insufficient evidence for a calcification role	low
OG0019790	HECT E3 ubiquitin ligase	TRIP12 or UPL3-like BLAST hits and HECT plus ankyrin PFAM domains	possible	Proteostasis and trafficking regulation can influence calcification-associated secretion indirectly	high
OG0019817	FAD-dependent monooxygenase	Zeaxanthin epoxidase-like BLAST hits with FAD and Rossmann-like PFAM domains	possible	Oxidative lipid or pigment metabolism may influence membrane properties and redox balance during calcification	medium
OG0019873	Aminotransferase class I or II enzyme	Aminotransferase PFAM support and ACC-synthase-like BLAST hits	low	General amino-acid metabolism with no specific biomineralization signal	medium
OG0019887	Ribosome-associated GTPase or organellar translation factor	MTG1-like BLAST hits and a ribosome-binding GTPase PFAM domain	low	Likely involved in organellar ribosome biogenesis rather than calcification	medium
OG0019917	cAMP or PKA regulatory subunit-like signaling protein	PKA regulatory BLAST hits and cyclic-nucleotide binding PFAM support	possible	cAMP signaling could modulate calcification physiology indirectly but the evidence is not direct	medium
OG0020622	RecD-like DNA helicase	RecD BLAST matches and helicase PFAM domains	low	Housekeeping DNA repair or replication enzyme	high
OG0020657	Uncharacterized secreted protein family	Repeated signal peptides without informative homology or PFAM support	possible	Secreted proteins are plausible organic-matrix components but functional evidence is minimal	low
OG0020696	Uncharacterized membrane or secreted protein	Mixed transmembrane and signal peptide predictions without informative homology	possible	Surface or membrane localization makes an indirect role plausible but the function is unknown	low
OG0020700	PDZ-domain scaffold protein	Recurrent PDZ PFAM matches in otherwise uninformative proteins	possible	PDZ scaffolds can organize membrane protein complexes that affect ion transport or secretion	medium
OG0020703	Secreted sulfotransferase	Heparan-sulfate sulfotransferase BLAST and PFAM matches with multiple secreted members	high	Sulfated extracellular glycans are strong candidates for calcium-binding calcification matrices	high
OG0020706	Uncharacterized membrane protein	Partial transmembrane and signal-peptide enrichment without informative homology	possible	Membrane proteins may regulate transport or organelle function tied to calcification but the evidence is weak	low
OG0020728	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0020729	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0021347	Secreted trypsin-like protease	Trypsin BLAST and PFAM hits with universal signal-peptide topology	high	Extracellular proteases can process matrix proteins and remodel mineralizing compartments	high
OG0021406	Short-chain dehydrogenase or reductase	Short-chain dehydrogenase PFAM support and dehydrogenase BLAST matches	low	Generic redox enzyme with no specific calcification signal	high
OG0021517	F-box protein	F-box PFAM matches and F-box BLAST hits	low	Likely a ubiquitin-ligase adaptor with only indirect regulatory potential	high
OG0021520	Uncharacterized beta-structure-rich protein	One beta-structure DeepTMHMM call without informative homology or PFAM support	low	Too little functional evidence is available for a calcification hypothesis	low
OG0021523	PP2C-family phosphatase	Protein phosphatase 2C PFAM support and phosphatase BLAST matches	possible	Signaling phosphatases can influence calcification-associated pathways indirectly	high
OG0021531	PDZ-associated protease or chaperone	DegP-like BLAST hits with strong PDZ-domain PFAM support	possible	Protein quality control or extracellular proteolysis could affect matrix-protein maturation	medium
OG0022355	Secreted or membrane-tethered DUF2237 protein	DUF2237 PFAM support plus strong signal peptide and signal-anchor enrichment	possible	Cell-surface or secreted proteins are plausible matrix organizers but this family is uncharacterized	low
OG0022381	Cytochrome P450 reductase	Cytochrome P450 reductase BLAST hits and FAD NAD flavodoxin PFAM domains	possible	Lipid or redox metabolism may indirectly support biomineralization membranes	high
OG0022455	Uncharacterized small secreted protein	Small mostly globular proteins with a minority of signal peptides and no domain support	possible	Small secreted proteins are plausible matrix peptides but evidence remains limited	low
OG0022473	Uncharacterized secreted or membrane protein	Mixed signal peptide and transmembrane predictions without domain support	possible	Surface-localized proteins could contribute to matrix assembly or signaling	low
OG0022474	F-box protein	F-box PFAM matches without other informative features	low	Ubiquitin-pathway adaptor with no direct calcification evidence	high
OG0022492	PDZ and WD-repeat scaffold protein	PDZ and beta-propeller PFAM support with kinase or scaffold-like BLAST hits	possible	Scaffolding proteins could organize signaling or trafficking complexes needed for secretion	medium
OG0022500	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0022520	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0022524	Pentapeptide-repeat-rich protein	Pentapeptide-repeat PFAM support with repetitive low-information BLAST hits	low	It could be structural but there is no specific calcification evidence	low
OG0022528	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0023496	Serine or threonine protein kinase	Kinase BLAST hits and kinase PFAM support	possible	Signaling kinases can regulate secretion cytoskeleton and ion-homeostasis programs tied to calcification	high
OG0023566	Sey1 or RHD3-like membrane fusion GTPase	Sey1 and RHD3-like BLAST hits with the expected GTPase PFAM domain	possible	ER network maintenance and secretory trafficking are plausible indirect control points for matrix export	medium
OG0023594	GT8-family glycosyltransferase with ankyrin-repeat scaffold features	GT8 PFAM support plus glycosyltransferase BLAST matches	high	Likely contributes to synthesis or remodeling of matrix polysaccharides that influence mineral nucleation	high
OG0023657	Uncharacterized small soluble protein	No domain or homology signal in a compact mostly soluble family	low	Insufficient evidence for biomineral relevance	low
OG0023790	RCC-reductase-like oxidoreductase	RCC-reductase PFAM support and a few signal peptides with weak oxidoreductase BLAST calls	possible	Redox chemistry could indirectly affect extracellular matrix maturation but the evidence is weak	low
OG0024846	MUCI70-like glycosyltransferase	MUCI70-like BLAST support and glycosyltransferase-like PFAM matches	high	Likely builds extracellular glycans or mucilage-like polymers that can shape mineralization matrices	medium
OG0024979	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0025015	Uncharacterized multipass membrane protein	Universal multispan membrane topology without informative homology	possible	It could be a transporter or membrane organizer relevant to ion or pH control but the function is unknown	low
OG0025016	Uncharacterized soluble protein	No domain signal and no informative homology	low	Insufficient evidence for biomineral relevance	low
OG0025059	Small secreted protein family	Strong signal-peptide enrichment with no informative homology or PFAM support	possible	Secreted peptides are plausible organic-matrix components or extracellular regulators	low
OG0026865	JMJD6-like hydroxylase or demethylase	JMJD6-like BLAST hits and JmjC-domain PFAM support	possible	Protein hydroxylation or gene-regulatory activity could indirectly influence matrix protein maturation or expression	high
