"orthogroup"	"final_relevance"	"final_function"	"model_score_mean"	"model_score_sd"	"model_score_range"	"overcalled_by_runs"	"undercalled_by_runs"	"audit_note"	"Claude_app_run1"	"Claude_app_run2"	"Claude_app_run3"	"Claude_code_run1"	"Claude_code_run2"	"Claude_code_run3"	"Codex_app_run1"	"Codex_app_run2"	"Codex_app_run3"
"OG0000049"	"Low"	"Heterogeneous FKBP15/coiled-coil-like expanded family"	"1.06"	"0.88"	"0.5-2.5"	"Claude_app_run1;Codex_app_run2;Codex_app_run3"	""	"Several runs over-interpreted weak heterogeneous hits."	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"plausible indirect"	"possible"
"OG0001332"	"Watchlist"	"Hint-domain or Hedgehog-Warthog-like membrane autoprocessing proteins"	"1.61"	"1.05"	"0.5-2.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_app_run3;Claude_code_run1;Codex_app_run1"	"Moderate calls rely on metazoan Hedgehog skeletal biology not shown by these data."	"LOW???MEDIUM"	"background"	"LOW (signalling)"	"low"	"LOW-MEDIUM"	"moderate"	"low"	"plausible indirect"	"possible"
"OG0001976"	"Watchlist"	"Pentapeptide-repeat protein family"	"1.56"	"1.33"	"0.5-4"	"Claude_app_run1;Claude_code_run3;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_app_run3;Claude_code_run1;Claude_code_run2;Codex_app_run1"	"Literature support justifies watchlist status; Ca/carbonate-binding claims remain overreach without orthogroup-specific validation."	"MEDIUM???HIGH"	"background"	"UNLIKELY"	"low"	"LOW"	"moderate"	"low"	"plausible indirect"	"possible"
"OG0002887"	"Low"	"PIF1-family DNA helicase"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0003717"	"Low"	"Uncharacterized family"	"0.94"	"0.53"	"0.5-1.5"	"Claude_app_run1;Claude_app_run3;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"CANDIDATE (orphan, weak)"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0009246"	"Moderate"	"Secreted adhesive or ECM-like protein family with weak collagen/adhesive BLAST support"	"2.72"	"1.44"	"0.5-4"	"Claude_app_run1;Claude_app_run3;Codex_app_run1;Codex_app_run3"	"Claude_app_run2;Codex_app_run2"	"High calls should be qualified because matrix annotation rests on few hits."	"HIGH"	"low"	"HIGH"	"medium"	"MEDIUM"	"moderate"	"high"	"low/indirect"	"high"
"OG0009301"	"Moderate"	"Secreted or membrane-anchored proline-rich/SHOCT-like surface protein"	"2.28"	"1.28"	"0.5-4"	"Claude_app_run1;Codex_app_run3"	"Claude_code_run1;Claude_code_run3;Codex_app_run1"	"RNA polymerase annotation is misleading; high direct calcification calls are overstated."	"MEDIUM???HIGH"	"medium"	"MEDIUM (secreted membrane)"	"low"	"MEDIUM"	"weak"	"low"	"plausible indirect"	"high"
"OG0009816"	"Moderate"	"Golgi alpha-1,3-mannosyltransferase-like enzyme"	"2.22"	"1.09"	"0.5-4"	"Codex_app_run3"	"Claude_app_run2;Claude_code_run1"	""	"MEDIUM"	"background"	"MEDIUM"	"low"	"LOW-MEDIUM"	"moderate"	"moderate"	"plausible indirect"	"high"
"OG0010177"	"Low"	"Ankyrin-repeat scaffold protein"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0010867"	"Watchlist"	"Pentapeptide-repeat protein family"	"1.33"	"1.32"	"0.5-4"	"Claude_app_run1;Claude_code_run3;Codex_app_run2"	"Claude_app_run2;Claude_app_run3;Claude_code_run1;Claude_code_run2;Codex_app_run1;Codex_app_run3"	"Literature support is motif-level and does not prove this orthogroup is a coccolith protein."	"MEDIUM???HIGH"	"background"	"UNLIKELY"	"low"	"LOW"	"moderate"	"low"	"plausible indirect"	"low"
"OG0010991"	"Watchlist"	"Uncharacterized family with minor secretion signal"	"1.17"	"0.71"	"0.5-2.5"	"Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Codex_app_run1;Codex_app_run2"	""	"UNKNOWN"	"background"	"CANDIDATE (weak)"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"possible"
"OG0011061"	"Moderate"	"Exostosin/GT47-like membrane glycosyltransferase candidate"	"2.94"	"1.18"	"0.5-4"	"Claude_app_run1;Claude_app_run3;Claude_code_run2;Codex_app_run3"	"Claude_app_run2"	"Several runs called this high despite only 2/27 PFAM-supported sequences."	"HIGH"	"low"	"HIGH"	"medium"	"HIGH"	"moderate"	"moderate"	"plausible indirect"	"high"
"OG0011197"	"Low"	"2OG-Fe(II) oxygenase or RAP-like protein"	"1.06"	"0.88"	"0.5-2.5"	"Claude_code_run2;Claude_code_run3;Codex_app_run3"	""	"Hydroxylase-to-collagen extrapolations are speculative."	"LOW"	"background"	"UNLIKELY"	"low"	"LOW-MEDIUM"	"weak"	"low"	"low/unclear"	"possible"
"OG0013037"	"Low"	"Weak serine hydrolase or aminopeptidase-like family"	"1.06"	"0.88"	"0.5-2.5"	"Claude_app_run1;Claude_code_run3;Codex_app_run3"	""	""	"LOW???MEDIUM"	"background"	"LOW"	"low"	"LOW"	"weak"	"low"	"low/unclear"	"possible"
"OG0014155"	"Watchlist"	"Secreted or lumenal inosine-uridine nucleoside hydrolase"	"1.39"	"1.05"	"0.5-2.5"	"Claude_code_run1;Claude_code_run2;Claude_code_run3;Codex_app_run2"	"Claude_app_run1;Claude_app_run2;Claude_app_run3;Codex_app_run1;Codex_app_run3"	"Secreted housekeeping enzymes were often over-ranked as ECM candidates."	"LOW"	"low"	"UNLIKELY (metabolism)"	"medium"	"LOW-MEDIUM"	"moderate"	"low"	"plausible indirect"	"low"
"OG0014250"	"Low"	"Amidase or Glu-tRNA(Gln) amidotransferase-like enzyme"	"1.5"	"1"	"0.5-2.5"	"Claude_app_run1;Claude_code_run1;Claude_code_run3;Codex_app_run2;Codex_app_run3"	""	"Medium calls based only on secretion are weak."	"LOW???MEDIUM"	"low"	"UNLIKELY"	"medium"	"LOW"	"weak"	"low"	"plausible indirect"	"possible"
"OG0015153"	"Watchlist"	"Unresolved multi-pass membrane protein family"	"1.61"	"0.78"	"0.5-2.5"	"Claude_code_run1;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Codex_app_run1"	"Piccolo/Ca-sensor interpretations are likely BLAST noise."	"UNKNOWN"	"low"	"CANDIDATE (multi-TM)"	"medium"	"UNKNOWN"	"weak"	"low"	"plausible indirect"	"possible"
"OG0016203"	"Watchlist"	"Mostly membrane protein family with one collagen/RCC1-like member"	"2.72"	"1.44"	"0.5-4"	"Claude_app_run1;Claude_app_run3;Claude_code_run1;Claude_code_run2;Claude_code_run3;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Codex_app_run1"	"High collagen/matrix calls overstate evidence because PFAM collagen appears in 1/18 sequences."	"MEDIUM???HIGH"	"background"	"MEDIUM-HIGH"	"high"	"LOW-MEDIUM"	"moderate"	"unlikely"	"plausible indirect"	"high"
"OG0016211"	"Watchlist"	"SUR7/PalI-family multi-pass membrane organizer"	"1.5"	"1"	"0.5-2.5"	"Claude_app_run1;Claude_app_run3;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Claude_code_run2;Codex_app_run1"	""	"MEDIUM"	"low"	"MEDIUM"	"low"	"LOW"	"weak"	"low"	"plausible indirect"	"possible"
"OG0017138"	"High"	"Arylsulfatase/sulfatase family"	"3.17"	"0.79"	"2.5-4"	""	"Claude_app_run1;Claude_code_run1;Claude_code_run3;Codex_app_run1;Codex_app_run2"	""	"MEDIUM"	"high"	"HIGH"	"medium"	"HIGH"	"moderate"	"moderate"	"plausible indirect"	"high"
"OG0017238"	"Low"	"tRNA ligase"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/indirect"	"low"
"OG0017305"	"Moderate"	"Stf0-like sulfotransferase"	"2.39"	"1.24"	"0.5-4"	"Claude_app_run1;Codex_app_run3"	"Claude_code_run1;Codex_app_run1"	"High calls should be tempered by low coverage."	"MEDIUM???HIGH"	"medium"	"MEDIUM"	"low"	"MEDIUM"	"moderate"	"low"	"plausible indirect"	"high"
"OG0017361"	"Low"	"DJ-1/PfpI family stress or cysteine hydrolase"	"0.72"	"0.67"	"0.5-2.5"	"Claude_app_run1"	""	""	"LOW???MEDIUM"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0017362"	"Low"	"Red chlorophyll catabolite reductase-like protein"	"0.94"	"0.88"	"0.5-2.5"	"Codex_app_run2;Codex_app_run3"	""	""	"LOW"	"low"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"plausible indirect"	"possible"
"OG0017884"	"Low"	"GNAT acetyltransferase"	"0.72"	"0.67"	"0.5-2.5"	"Codex_app_run2"	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"plausible indirect"	"low"
"OG0017903"	"Low"	"Flavohemoprotein or oxidoreductase"	"0.94"	"0.88"	"0.5-2.5"	"Codex_app_run2;Codex_app_run3"	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"plausible indirect"	"possible"
"OG0017965"	"Low"	"Kelch/beta-propeller protein with possible NANM-like domain"	"0.83"	"0.71"	"0.5-2.5"	"Claude_code_run3;Codex_app_run2"	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"weak"	"low"	"plausible indirect"	"low"
"OG0018519"	"Watchlist"	"Uncharacterized conserved multi-pass membrane family"	"1.39"	"0.78"	"0.5-2.5"	"Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Codex_app_run1"	""	"UNKNOWN"	"low"	"CANDIDATE (multi-TM)"	"low"	"UNKNOWN"	"weak"	"low"	"plausible indirect"	"possible"
"OG0018986"	"High"	"FG-GAP/integrin-alpha-like cell-surface receptor with TM or 7TM features"	"2.56"	"1.36"	"0.5-4"	""	"Claude_app_run1;Claude_app_run2;Claude_code_run1;Claude_code_run2;Codex_app_run1;Codex_app_run2"	"Some runs missed this because they did not connect FG-GAP/integrin-like evidence to matrix/Ca-binding biology."	"MEDIUM"	"low"	"MEDIUM-HIGH"	"low"	"MEDIUM"	"strong"	"moderate"	"plausible indirect"	"high"
"OG0019067"	"Low"	"LRR/NLR-like receptor protein"	"0.83"	"0.71"	"0.5-2.5"	"Claude_code_run3;Codex_app_run3"	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"weak"	"low"	"low/unclear"	"possible"
"OG0019078"	"Low"	"GST or elongation-factor-gamma-like protein"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0019174"	"Low"	"Amidase or Glu-tRNA(Gln) amidotransferase-like enzyme"	"0.83"	"0.71"	"0.5-2.5"	"Claude_code_run3;Codex_app_run3"	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"weak"	"low"	"low/indirect"	"possible"
"OG0019180"	"Low"	"Uncharacterized soluble/orphan family"	"0.83"	"0.5"	"0.5-1.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"low"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0019790"	"Low"	"HECT E3 ubiquitin ligase with ankyrin repeats"	"0.94"	"0.88"	"0.5-2.5"	"Codex_app_run2;Codex_app_run3"	""	""	"LOW"	"background"	"LOW"	"low"	"LOW"	"unlikely"	"low"	"plausible indirect"	"possible"
"OG0019817"	"Watchlist"	"Secreted or lumenal FAD/NAD monooxygenase-like protein"	"1.39"	"1.05"	"0.5-2.5"	"Claude_app_run1;Claude_code_run1;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_app_run3;Claude_code_run2;Claude_code_run3;Codex_app_run1"	"Secreted topology alone should not make this a calcification enzyme."	"LOW???MEDIUM"	"low"	"LOW"	"medium"	"LOW"	"unlikely"	"low"	"plausible indirect"	"possible"
"OG0019873"	"Low"	"Aminotransferase class I/II"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0019887"	"Low"	"Ribosome-associated GTPase or intron maturase-like protein"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"unlikely"	"low/indirect"	"low"
"OG0019917"	"Watchlist"	"Cyclic-nucleotide-binding or PKA-regulatory-like protein"	"1.28"	"0.97"	"0.5-2.5"	"Claude_app_run3;Codex_app_run2;Codex_app_run3"	"Claude_app_run1;Claude_app_run2;Claude_code_run1;Claude_code_run2;Codex_app_run1"	""	"LOW"	"background"	"LOW-MEDIUM"	"low"	"LOW"	"weak"	"low"	"plausible indirect"	"possible"
"OG0020622"	"Low"	"RecD2/UvrD-like DNA helicase"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/indirect"	"low"
"OG0020657"	"Watchlist"	"Uncharacterized partially secreted family"	"1.17"	"0.71"	"0.5-2.5"	"Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Codex_app_run1;Codex_app_run2"	""	"UNKNOWN"	"background"	"CANDIDATE (weak)"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"possible"
"OG0020696"	"Watchlist"	"Uncharacterized weak membrane/secreted family"	"1.39"	"0.78"	"0.5-2.5"	"Codex_app_run1;Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Codex_app_run2"	""	"UNKNOWN"	"background"	"CANDIDATE (weak)"	"low"	"UNKNOWN"	"weak"	"moderate"	"low/unclear"	"possible"
"OG0020700"	"Low"	"PDZ-domain scaffold protein"	"0.72"	"0.67"	"0.5-2.5"	"Codex_app_run3"	""	""	"LOW"	"background"	"LOW"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"possible"
"OG0020703"	"High"	"Heparan-sulfate or sulfoglycan sulfotransferase-like enzyme"	"3.33"	"0.79"	"2.5-4"	""	"Claude_app_run2;Claude_code_run1;Codex_app_run1;Codex_app_run2"	"Evidence is biologically strong but present in only a subset; validate orthology/fragmentation."	"MEDIUM???HIGH"	"medium"	"HIGH"	"medium"	"HIGH"	"strong"	"moderate"	"plausible indirect"	"high"
"OG0020706"	"Watchlist"	"Uncharacterized multi-pass membrane family"	"1.17"	"0.71"	"0.5-2.5"	"Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Codex_app_run1;Codex_app_run2"	""	"UNKNOWN"	"background"	"CANDIDATE (multi-TM)"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"possible"
"OG0020728"	"Low"	"Uncharacterized soluble/orphan family"	"0.83"	"0.5"	"0.5-1.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0020729"	"Low"	"Uncharacterized soluble/orphan family"	"0.83"	"0.5"	"0.5-1.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0021347"	"Moderate"	"Secreted trypsin-family serine protease"	"2.44"	"0.88"	"0.5-4"	"Codex_app_run3"	"Claude_app_run2"	"High direct calls overstate a general extracellular protease."	"LOW???MEDIUM"	"low"	"LOW-MEDIUM"	"medium"	"MEDIUM"	"moderate"	"moderate"	"plausible indirect"	"high"
"OG0021406"	"Low"	"Short-chain dehydrogenase or sugar-metabolism enzyme"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0021517"	"Low"	"F-box protein"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"LOW"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0021520"	"Low"	"Mostly uncharacterized soluble family with one beta/TM outlier"	"0.94"	"0.53"	"0.5-1.5"	"Claude_app_run1;Claude_app_run3;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"CANDIDATE (weak)"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0021523"	"Watchlist"	"PP2C protein phosphatase"	"1.5"	"1"	"0.5-2.5"	"Claude_app_run3;Claude_code_run2;Codex_app_run2;Codex_app_run3"	"Claude_app_run1;Claude_app_run2;Claude_code_run1;Codex_app_run1"	""	"LOW"	"background"	"LOW-MEDIUM"	"low"	"LOW-MEDIUM"	"weak"	"low"	"plausible indirect"	"possible"
"OG0021531"	"Low"	"DegP/HtrA/PDZ protease-like protein"	"1.28"	"0.97"	"0.5-2.5"	"Claude_app_run1;Claude_code_run3;Codex_app_run2;Codex_app_run3"	""	""	"LOW???MEDIUM"	"background"	"LOW"	"low"	"LOW"	"weak"	"low"	"plausible indirect"	"possible"
"OG0022355"	"Watchlist"	"Secreted/membrane DUF2237 protein family"	"1.5"	"0.87"	"0.5-2.5"	"Claude_app_run1;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Codex_app_run1"	""	"MEDIUM"	"low"	"CANDIDATE (secreted)"	"low"	"UNKNOWN"	"weak"	"low"	"plausible indirect"	"possible"
"OG0022381"	"Low"	"NADPH-cytochrome P450 reductase-like redox enzyme"	"0.72"	"0.67"	"0.5-2.5"	"Codex_app_run3"	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"possible"
"OG0022455"	"Low"	"Uncharacterized soluble/orphan family"	"1.06"	"0.73"	"0.5-2.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3;Codex_app_run3"	""	""	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"possible"
"OG0022473"	"Watchlist"	"Uncharacterized partially secreted/membrane family"	"1.17"	"0.71"	"0.5-2.5"	"Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Codex_app_run1;Codex_app_run2"	""	"UNKNOWN"	"low"	"CANDIDATE (weak)"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"possible"
"OG0022474"	"Low"	"F-box protein"	"0.5"	"0"	"0.5-0.5"	""	""	""	"LOW"	"background"	"LOW"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"low"
"OG0022492"	"Low"	"Beta-propeller/WD40 kinase-associated scaffold"	"0.94"	"0.88"	"0.5-2.5"	"Codex_app_run2;Codex_app_run3"	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"plausible indirect"	"possible"
"OG0022500"	"Low"	"Uncharacterized soluble/orphan family"	"0.83"	"0.5"	"0.5-1.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0022520"	"Low"	"Uncharacterized soluble/orphan family"	"0.83"	"0.5"	"0.5-1.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0022524"	"Watchlist"	"Pentapeptide-repeat protein family"	"1.11"	"1.27"	"0.5-4"	"Claude_app_run1;Claude_code_run3"	"Claude_app_run2;Claude_app_run3;Claude_code_run1;Claude_code_run2;Codex_app_run1;Codex_app_run2;Codex_app_run3"	"Upgraded only to watchlist because no SignalP or DeepTMHMM secretion support is present."	"MEDIUM???HIGH"	"background"	"UNLIKELY"	"low"	"LOW"	"moderate"	"low"	"low/unclear"	"low"
"OG0022528"	"Low"	"Uncharacterized soluble/orphan family"	"0.83"	"0.5"	"0.5-1.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0023496"	"Watchlist"	"Protein kinase or GAK-BMP2K-like kinase"	"1.61"	"1.05"	"0.5-2.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_app_run3;Claude_code_run1;Codex_app_run1"	"BMP2K name alone should not be treated as skeletogenic evidence in haptophytes."	"LOW???MEDIUM"	"background"	"LOW"	"low"	"LOW-MEDIUM"	"moderate"	"low"	"plausible indirect"	"possible"
"OG0023566"	"Low"	"SEY1/RHD3-like ER-fusion GTPase"	"0.94"	"0.88"	"0.5-2.5"	"Claude_code_run3;Codex_app_run3"	""	""	"LOW"	"background"	"LOW"	"low"	"LOW"	"moderate"	"low"	"low/unclear"	"possible"
"OG0023594"	"Moderate"	"GT8 glycosyltransferase-like enzyme"	"2.44"	"0.88"	"0.5-4"	"Codex_app_run3"	"Claude_code_run1"	""	"MEDIUM"	"medium"	"MEDIUM"	"low"	"MEDIUM"	"moderate"	"moderate"	"plausible indirect"	"high"
"OG0023657"	"Low"	"Uncharacterized soluble/orphan family"	"0.83"	"0.5"	"0.5-1.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0023790"	"Low"	"Red chlorophyll catabolite reductase-like protein"	"0.72"	"0.67"	"0.5-2.5"	"Codex_app_run3"	""	""	"LOW"	"background"	"UNLIKELY"	"low"	"LOW"	"unlikely"	"low"	"low/unclear"	"possible"
"OG0024846"	"Moderate"	"TOD1/MUCI70-like hexosyltransferase"	"2.44"	"0.88"	"0.5-4"	"Codex_app_run3"	"Claude_code_run1"	""	"MEDIUM"	"medium"	"MEDIUM"	"low"	"LOW-MEDIUM"	"moderate"	"moderate"	"plausible indirect"	"high"
"OG0024979"	"Low"	"Uncharacterized soluble/orphan family"	"0.83"	"0.5"	"0.5-1.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0025015"	"Watchlist"	"Uncharacterized pan-calcifier multi-pass membrane family"	"1.94"	"1.4"	"0.5-4"	"Claude_app_run1;Claude_app_run3;Codex_app_run2;Codex_app_run3"	"Claude_app_run2;Claude_code_run1;Codex_app_run1"	""	"UNKNOWN ??? HIGH PRIORITY"	"low"	"CANDIDATE (strong orphan)"	"low"	"UNKNOWN"	"weak"	"low"	"plausible indirect"	"possible"
"OG0025016"	"Low"	"Uncharacterized soluble/orphan family"	"0.83"	"0.5"	"0.5-1.5"	"Claude_app_run1;Claude_code_run2;Claude_code_run3"	""	""	"UNKNOWN"	"background"	"UNLIKELY"	"low"	"UNKNOWN"	"weak"	"low"	"low/unclear"	"low"
"OG0025059"	"Moderate"	"Uncharacterized secreted proline/cysteine-rich orphan protein"	"2.39"	"1.14"	"0.5-4"	"Claude_app_run1;Claude_app_run3"	"Claude_app_run2;Claude_code_run2;Claude_code_run3"	"Should be called an orphan candidate, not a known matrix protein."	"HIGH candidate"	"low"	"CANDIDATE (strong orphan)"	"medium"	"UNKNOWN"	"weak"	"moderate"	"plausible indirect"	"possible"
"OG0026865"	"Watchlist"	"JmjC/cupin hydroxylase-like enzyme"	"1.28"	"0.97"	"0.5-2.5"	"Claude_app_run3;Claude_code_run2;Codex_app_run3"	"Claude_app_run1;Claude_app_run2;Claude_code_run1;Codex_app_run1;Codex_app_run2"	""	"LOW"	"background"	"LOW-MEDIUM"	"low"	"LOW-MEDIUM"	"weak"	"low"	"low/unclear"	"possible"
